"STATION","NAME","DATE","AWND","DAPR","DASF","MDPR","MDSF","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11"
"USC00280907","BOONTON 1 SE, NJ US","2021-06-01",,,,,,"0.00","0.0","0.0",,"71","47",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-06-02",,,,,,"0.00","0.0","0.0",,"75","50",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-06-03",,,,,,"0.00","0.0","0.0",,"76","56",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-06-04",,,,,,"0.44","0.0","0.0",,"72","58",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-06-05",,,,,,"0.23","0.0","0.0",,"78","59",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-06-06",,,,,,"0.00","0.0","0.0",,"89","60",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-06-07",,,,,,"0.00","0.0","0.0",,"91","68",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-06-08",,,,,,"0.00","0.0","0.0",,"91","71",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-06-09",,,,,,"0.27","0.0","0.0",,"89","68",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-06-10",,,,,,"0.00","0.0","0.0",,"89","68",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-06-11",,,,,,"0.00","0.0","0.0",,"83","58",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-06-12",,,,,,"0.03","0.0","0.0",,"70","59",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-06-13",,,,,,"0.00","0.0","0.0",,"69","54",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-06-14",,,,,,"0.00","0.0","0.0",,"71","58",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-06-15",,,,,,"0.08","0.0","0.0",,"77","62",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-06-16",,,,,,"0.00","0.0","0.0",,"79","56",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-06-17",,,,,,"0.00","0.0","0.0",,"75","48",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-06-18",,,,,,"0.00","0.0","0.0",,"77","50",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-06-19",,,,,,"0.01","0.0","0.0",,"82","53",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-06-20",,,,,,"0.69","0.0","0.0",,"89","59",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-06-21",,,,,,"0.00","0.0","0.0",,"85","64",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-06-22",,,,,,"0.04","0.0","0.0",,"87","69",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-06-23",,,,,,"0.25","0.0","0.0",,"73","51",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-06-24",,,,,,"0.00","0.0","0.0",,"75","49",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-06-25",,,,,,"0.00","0.0","0.0",,"77","50",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-06-26",,,,,,"0.00","0.0","0.0",,"81","55",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-06-27",,,,,,"0.15","0.0","0.0",,"83","66",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-06-28",,,,,,"0.00","0.0","0.0",,"88","73",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-06-29",,,,,,"0.00","0.0","0.0",,"91","75",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-06-30",,,,,,"0.00","0.0","0.0",,"93","77",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-07-01",,,,,,"0.23","0.0","0.0",,"95","73",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-07-02",,,,,,"0.23","0.0","0.0",,"83","69",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-07-03",,,,,,"0.59","0.0","0.0",,"81","59",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-07-04",,,,,,"0.22","0.0","0.0",,"67","59",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-07-05",,,,,,"0.00","0.0","0.0",,"80","60",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-07-06",,,,,,"0.00","0.0","0.0",,"86","62",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-07-07",,,,,,"0.21","0.0","0.0",,"92","68",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-07-08",,,,,,"0.00","0.0","0.0",,"91","69",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-07-09",,,,,,"2.28","0.0","0.0",,"87","70",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-07-10",,,,,,"0.41","0.0","0.0",,"85","67",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-07-11",,,,,,"0.00","0.0","0.0",,"81","67",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-07-12",,,,,,"0.24","0.0","0.0",,"79","69",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-07-13",,,,,,"0.30","0.0","0.0",,"89","68",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-07-14",,,,,,"0.03","0.0","0.0",,"75","68",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-07-15",,,,,,"0.01","0.0","0.0",,"87","67",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-07-16",,,,,,"0.00","0.0","0.0",,"89","69",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-07-17",,,,,,"0.00","0.0","0.0",,"91","70",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-07-18",,,,,,"0.57","0.0","0.0",,"92","71",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-07-19",,,,,,"0.00","0.0","0.0",,"82","70",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-07-20",,,,,,"0.00","0.0","0.0",,"83","69",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-07-21",,,,,,"0.00","0.0","0.0",,"86","67",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-07-22",,,,,,"0.02","0.0","0.0",,"82","59",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-07-23",,,,,,"0.00","0.0","0.0",,"80","62",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-07-24",,,,,,"0.00","0.0","0.0",,"82","58",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-07-25",,,,,,"0.17","0.0","0.0",,"84","59",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-07-26",,,,,,"0.00","0.0","0.0",,"84","67",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-07-27",,,,,,"0.00","0.0","0.0",,"89","64",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-07-28",,,,,,"0.50","0.0","0.0",,"91","65",,,,,,,,,
